"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"108";"MST0150";"20180516-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-05-16";NA;"MST0150";"MST0150::2018-05-16";FALSE
"109";"MST0151";"20180529-1";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No2";"350";NA;"2018-05-29";NA;"MST0151";"MST0151::2018-05-29";FALSE
"110";"MST0152";"20180604-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No1";"350";NA;"2018-06-04";NA;"MST0152";"MST0152::2018-06-04";FALSE
"233";"MST0153";"1";NA;"12.6";"2020-aug-27";"MST-SX09";NA;"350";"09_01";"#N/A-NA-#N/A";NA;"MST0153";"MST0153::#N/A-NA-#N/A";FALSE
"111";"MST0154";"20180611-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2018-06-11";NA;"MST0154";"MST0154::2018-06-11";FALSE
"463";"MST0155";"8";NA;"0.254";"2021-mar-05";"MST-SX19";NA;"350";"19_08";"#N/A-NA-#N/A";NA;"MST0155";"MST0155::#N/A-NA-#N/A";FALSE
"112";"MST0155";"20180627-1";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-06-27";NA;"MST0155";"MST0155::2018-06-27";FALSE
"431";"MST0156";"1";NA;"6.4";"2020-nov-20";"MST-SX17";NA;"350";"17_01";"2020-05-15";NA;"MST0156";"MST0156::2020-05-15";FALSE
"113";"MST0157";"20180604-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-06-04";NA;"MST0157";"MST0157::2018-06-04";FALSE
"218";"MST0158";"2";NA;"10.1";"2020-jun-30";"MST-SX08";NA;"350";"08_02";"#N/A-NA-#N/A";NA;"MST0158";"MST0158::#N/A-NA-#N/A";FALSE
"464";"MST0160";"9";NA;"1.78";"2021-mar-05";"MST-SX19";NA;"350";"19_09";"#N/A-NA-#N/A";NA;"MST0160";"MST0160::#N/A-NA-#N/A";FALSE
"114";"MST0160";"20180604-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-04";NA;"MST0160";"MST0160::2018-06-04";FALSE
"269";"MST0161";"4";NA;"1.56";"2020-sep-08";"MST-SX10";NA;"350";"10_04";"2019-05-23";NA;"MST0161";"MST0161::2019-05-23";FALSE
"115";"MST0162";"20180516-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No2";"350";NA;"2018-05-16";NA;"MST0162";"MST0162::2018-05-16";FALSE
"270";"MST0163";"5";NA;"9.85";"2020-sep-08";"MST-SX10";NA;"350";"10_05";"#N/A-NA-#N/A";NA;"MST0163";"MST0163::#N/A-NA-#N/A";FALSE
"184";"MST0164";"1";NA;"8.15";"2020-jun-08";"MST-SX06";NA;"350";"06_01";"#N/A-NA-#N/A";NA;"MST0164";"MST0164::#N/A-NA-#N/A";FALSE
"271";"MST0165";"6";NA;"11.4";"2020-sep-08";"MST-SX10";NA;"350";"10_06";"#N/A-NA-#N/A";NA;"MST0165";"MST0165::#N/A-NA-#N/A";FALSE
"234";"MST0166";"2";NA;"14.6";"2020-aug-27";"MST-SX09";NA;"350";"09_02";"#N/A-NA-#N/A";NA;"MST0166";"MST0166::#N/A-NA-#N/A";FALSE
"775";"MST0167";"6";"Station 93420310, 18.08.2023, Makroalger";"14.6";"2024-feb-13";"MST-SX34";NA;"400";"34_06";NA;NA;"MST0167";"MST0167::NA";FALSE
