"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST2022035_2022-09-27";"2022-09-27";92200001;"1300";57.6078;9.9003
"MST2022039_2022-10-18";"2022-10-18";93410108;"1440";56.1665;10.735
"MST2022040_2022-10-20";"2022-10-20";97230016;"ukendt";55.9376;12.5169
"MST2022110_2023-01-26";"2023-01-26";99000049;"1500";55.2495;15.9692
"MST2023114_2023-03-17";"2023-03-17";91650035;"700";55.0938;8.5683
"MST2022052_2023-04-11";"2023-04-11";95700008;"1000";55.2263;9.8291
"MST0443_2023-04-21";"2023-04-21";93010001;"1200";57.1343;11.1594
"MST2022097_2023-04-28";"2023-04-28";95130028;"975";55.7;9.6334
"MST2022089_2023-05-01";"2023-05-01";97200002;"1400";55.8667;12.75
"MST2023034_2023-05-02";"2023-05-02";93740007;"1500";56.1322;11.1579
"MST2022094_2023-05-02";"2023-05-02";93730002;"1500";56.1322;11.1579
"MST2022103_2023-05-03";"2023-05-03";93000001;"1500";57.565;11.1627
"MST2023020_2023-05-04";"2023-05-04";95600002;"1500";56.435;10.1668
"MST2023016_2023-05-08";"2023-05-08";95220322;"1100";55.1317;11.5021
"MST2023064_2023-05-09";"2023-05-09";93610032;"1750";56.1322;11.1579
"MST2023009_2023-05-10";"2023-05-10";94300001;"1400";55.6744;10.0845
"MST2023065_2023-05-10";"2023-05-10";94400007;"1100";56.1546;10.3169
"MST2023041_2023-05-12";"2023-05-12";93500119;"1000";56.6171;10.5194
"MST2023051_2023-05-15";"2023-05-15";99000052;"1500";55.025;13.3106
"MST2023089_2023-05-17";"2023-05-17";93220011;"1500";55;12
"MST2023086_2023-05-23";"2023-05-23";91320001;"500";56.0778;8.2167
"MST2022100_2023-05-23";"2023-05-23";93000005;"1550";56.8561;10.7845
"MST2023097_2023-06-05";"2023-06-05";99150002;"1500";55.0153;14.9
"MST2022077_2023-06-12";"2023-06-12";91500007;"1200";55.3375;8.35
"MST2023118_2023-06-19";"2023-06-19";94230001;"1850";55.4792;10.5167
"MST2023099_2023-06-22";"2023-06-22";96220363;"1300";55;11
"MST2023102_2023-06-29";"2023-06-29";97230017;"1500";55.9374;12.5167
"MST2023055_2023-08-01";"2023-08-01";94300001;"1800";55.6744;10.0833
"MST2023010_2023-08-02";"2023-08-02";99000052;"1500";55.0005;13.3002
"MST2023076_2023-08-03";"2023-08-03";97200002;"1500";55.9659;12.736
"MST2023058_2023-08-03";"2023-08-03";93000005;"1700";56.8557;10.7833
"MST2023015_2023-08-04";"2023-08-04";93000001;"1500";56.1316;11.1513
"MST2023074_2023-08-10";"2023-08-10";93610032;"1550";56.6625;9.9681
"MST2023061_2023-08-11";"2023-08-11";94400007;"1650";56.1547;10.317
"MST2023033_2023-08-11";"2023-08-11";95600002;"1500";56.4183;10.1673
"MST2023111_2023-08-12";"2023-08-12";91500007;"900";55.3375;8.35
"MST2023096_2023-08-18";"2023-08-18";93420310;"1540";56.444;10.9525
"MST2023001_2023-08-21";"2023-08-21";93740007;"1700";57.0467;9.0814
"MST2023066_2023-08-21";"2023-08-21";93730002;"900";57.3233;9.0694
"MST2023019_2023-08-25";"2023-08-25";99000049;"1500";55.25;15.9833
"MST1018_2023-09-06";"2023-09-06";92200001;"1200";57.6078;9.9003
"MST2023117_2023-09-11";"2023-09-11";94230001;"1750";55.4792;10.5167
"MST2023081_2023-10-02";"2023-10-02";99210007;"1500";54.7525;12.0506
"MST2023050_2023-10-03";"2023-10-03";96420199;"1500";54.9384;11.0366
"MST2023082_2023-10-04";"2023-10-04";93220011;"1500";55.713;12.0667
"MST2023084_2023-10-09";"2023-10-09";91320001;"500";56.0778;8.2167
