ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;decimalLatitude;decimalLongitude;qualityStatus
Prionospio plumosa;131161;Prionospio plumosa;131161;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio salzi;131162;Prionospio salzi;131162;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio sexoculata;131163;Prionospio sexoculata;131163;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North East Atlantic;http://marineregions.org/mrgid/5664;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;doubtful;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;doubtful;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Gulf of Maine;http://marineregions.org/mrgid/8940;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Grand Banks;http://marineregions.org/mrgid/4554;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio tripinnata;131165;Prionospio tripinnata;131165;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Aonides mayaguezensis;157179;Aonides mayaguezensis;157179;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Aonides;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
