"ScientificName";"AphiaID";"Synonym";"SynonymID";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"locality";"locationID";"higherGeography";"higherGeographyID";"recordStatus";"typeStatus";"establishmentMeans";"decimalLatitude";"decimalLongitude";"qualityStatus"
"Dosinia discus";156070;"Dosinia discus";156070;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Gulf of Mexico";"http://marineregions.org/mrgid/4288";"Gulf of Mexico";"http://marineregions.org/mrgid/4288";"valid";;;;;"unreviewed"
"Dosinia discus";156070;"Dosinia discus";156070;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Puerto Rico";"http://marineregions.org/mrgid/8641";;;"valid";;;;;"unreviewed"
"Dosinia discus";156070;"Dosinia discus";156070;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Caribbean Sea";"http://marineregions.org/mrgid/4287";"Caribbean Sea";"http://marineregions.org/mrgid/4287";"valid";;;;;"unreviewed"
"Dosinia dunkeri";507571;"Dosinia dunkeri";507571;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia eburnea";539490;"Dosinia eburnea";539490;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia eduardi";507608;"Dosinia eduardi";507608;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia erythraea";181360;"Dosinia erythraea";181360;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Red Sea";"http://marineregions.org/mrgid/4264";"Red Sea";"http://marineregions.org/mrgid/4264";"valid";;;;;"unreviewed"
"Dosinia erythraea";181360;"Dosinia erythraea";181360;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"European waters (ERMS scope)";"http://marineregions.org/mrgid/7130";"North Atlantic Ocean";"http://marineregions.org/mrgid/1912";"valid";;;;;"unreviewed"
"Dosinia erythraea";181360;"Dosinia erythraea";181360;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"Mediterranean Sea";"http://marineregions.org/mrgid/1905";"valid";;"Alien";;;"unreviewed"
"Dosinia erythraea";181360;"Dosinia erythraea";181360;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Egypt";"http://marineregions.org/mrgid/3868";"Egypt";"http://marineregions.org/mrgid/3868";"valid";;"Alien";;;"trusted"
"Dosinia euclia";539491;"Dosinia euclia";539491;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia eudeli";539492;"Dosinia eudeli";539492;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia eunice";539493;"Dosinia eunice";539493;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia exasperata";539494;"Dosinia exasperata";539494;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia exasperata";507574;"Dosinia exasperata";507574;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
